Year,District,Crop,Predicted_Yield,Rice,Sorghum,Maize,Finger millet,Chickpea,Pigeonpea,Groundnut,Arecanut,Revenue,Cost,Profit
2031,Davanagere,Chickpea,954.6719575841372,934.8544719,638.9790459,1275.296603,720.1264814,3249.723823,3426.604723,3401.092694,38949.51454,31024.20203711216,40870.34,21178.064074224327
2031,Davanagere,Pigeonpea,1080.3130589269238,934.8544719,638.9790459,1275.296603,720.1264814,3249.723823,3426.604723,3401.092694,38949.51454,37018.05830037574,45957.39,28078.726600751485
2031,Davanagere,Groundnut,1518.9149833810493,934.8544719,638.9790459,1275.296603,720.1264814,3249.723823,3426.604723,3401.092694,38949.51454,51659.70652784418,67803.33,35516.08305568836
2031,Davanagere,Arecanut,5380.5097511718,934.8544719,638.9790459,1275.296603,720.1264814,3249.723823,3426.604723,3401.092694,38949.51454,2095682.427858778,503137.23,3688227.625717556
2032,Davanagere,Rice,6516.77636432216,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,62523.11028799699,92006.24,33039.98057599398
2032,Davanagere,Sorghum,2629.992192454062,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,17505.361036939397,60413.47,-25402.747926121207
2032,Davanagere,Maize,5658.91096475454,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,38461.70907110928,60413.47,16509.948142218564
2032,Davanagere,Finger millet,2093.604260690967,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,19526.177524236104,79299.73,-40247.37495152779
2032,Davanagere,Chickpea,955.9536525228486,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,12240.708185089608,40870.34,-16388.92362982078
2032,Davanagere,Pigeonpea,1083.256531519583,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,46061.13341715581,45957.39,46164.876834311624
2032,Davanagere,Groundnut,1518.217727954191,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,34880.20562008501,67803.33,1957.081240170024
2032,Davanagere,Arecanut,5427.543155196888,959.4177672,665.6050572,679.6662699,932.6584728,1280.470884,4252.098379,2297.444232,39034.47922,2118613.205071862,503137.23,3734089.1801437237
2033,Davanagere,Rice,6517.59033897791,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,59058.237901364715,92006.24,26110.235802729425
2033,Davanagere,Sorghum,2633.533690145253,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,26200.187044242823,60413.47,-8013.095911514356
2033,Davanagere,Maize,5661.63524377215,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,43523.68717470413,60413.47,26633.904349408258
2033,Davanagere,Finger millet,2094.2196034766325,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,21666.07388876557,79299.73,-35967.58222246885
2033,Davanagere,Chickpea,956.5510808637014,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,17433.224468617507,40870.34,-6003.891062764982
2033,Davanagere,Pigeonpea,1084.628553749105,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,50297.86302465872,45957.39,54638.33604931744
2033,Davanagere,Groundnut,1517.8927206999397,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,53111.687297560784,67803.33,38420.044595121566
2033,Davanagere,Arecanut,5449.466537807434,906.1360845,994.8681174,768.7476374,1034.565518,1822.50847,4637.335321,3499.040912,39705.68785,2163748.1729920222,503137.23,3824359.1159840445
2034,Davanagere,Rice,6580.316029309982,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,78965.31036482459,92006.24,65924.38072964917
2034,Davanagere,Sorghum,2906.4449975429825,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,44174.38766927721,60413.47,27935.30533855442
